name,full_address,street,city,postal_code,us_state,country,latitude,longitude,site,phone,type,category,subtypes,rating,reviews,business_status,working_hours,google_id,place_id,reviews_link,photo,query,scraped_zip,source
Starbucks Coffee Company,,"Fidalgo Square, 1720 Commercial Ave",Anacortes,98221,,United States of America,48.50802,-122.6133001,,+1 360-588-8801,Coffee shop,coffee shops,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.3,615.0,OPERATIONAL,"{""Friday"": [""4:30AM-8PM""], ""Monday"": [""4:30AM-8PM""], ""Saturday"": [""5AM-8PM""], ""Sunday"": [""5AM-8PM""], ""Thursday"": [""4:30AM-8PM""], ""Tuesday"": [""4:30AM-8PM""], ""Wednesday"": [""4:30AM-8PM""]}",0x548579f00c4b0245:0x5839edba9c47fd55,ChIJRQJLDPB5hVQRVf1HnLrtOVg,https://search.google.com/local/reviews?placeid=ChIJRQJLDPB5hVQRVf1HnLrtOVg&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFagAYEVOd6V1fxY6TRAHRRgk6Fu9jv8M-xAOn1fq4P6dYi8DrBGp5BMYUL5yi66fBQz04EhINc62wgn7HENNGDXTGRBarY9VLicmE_7TqMcB2kMrnSWbUl0aLk4HX70kgeO5guvw=w800-h500-k-no,"cafe, 98221, WA, US",98221,outscraper_google_maps
Strawberry Bay Coffee & Roasting,,801 21st St,Anacortes,98221,,United States of America,48.5050227,-122.6100471,,,Coffee shop,coffee shops,"Coffee shop, Breakfast restaurant, Store",4.6,272.0,OPERATIONAL,"{""Friday"": [""5AM-4PM""], ""Monday"": [""5AM-4PM""], ""Saturday"": [""6:30AM-4PM""], ""Sunday"": [""7AM-4PM""], ""Thursday"": [""5AM-4PM""], ""Tuesday"": [""5AM-4PM""], ""Wednesday"": [""5AM-4PM""]}",0x548579f732f68a09:0x8056b0905c79796a,ChIJCYr2Mvd5hVQRanl5XJCwVoA,https://search.google.com/local/reviews?placeid=ChIJCYr2Mvd5hVQRanl5XJCwVoA&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjjxxLW_gnok3FO0OhH6A-7F7fUoVopnan5GjgZLlJ1OVx6yI4IOsN4JQoPQ2yPo3OznDLSY6MiQR8SqVT2IvrxLJXZy-I5ZSTe-HvTm-yGnAkN5MLWngkJ-RphXZFUQ_sfNJfag=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Subway,,1518 Commercial Ave,Anacortes,98221,,United States of America,48.5096413,-122.61304,,+1 360-293-0461,Sandwich shop,restaurants,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",4.0,270.0,OPERATIONAL,"{""Friday"": [""7AM-10PM""], ""Monday"": [""7AM-10PM""], ""Saturday"": [""8AM-10PM""], ""Sunday"": [""9AM-9PM""], ""Thursday"": [""7AM-10PM""], ""Tuesday"": [""7AM-10PM""], ""Wednesday"": [""7AM-10PM""]}",0x548579f0044a9def:0x1de803e04253d4d5,ChIJ751KBPB5hVQR1dRTQuAD6B0,https://search.google.com/local/reviews?placeid=ChIJ751KBPB5hVQR1dRTQuAD6B0&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGFXuAk8Q7QJXYcgXlb6mGQICSMs7gJA9kxkdr8E0Rp7RNB-cuG6elPIMVNRB-Qq52rDQsnrhKU0kUmwo-4rTNF9xbi2MT6_BWuBCvylXqLTJmycCPiOCLNwO4R-L5_2hMP_A5d=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Sweet Corner,,2403 Commercial Ave A,Anacortes,98221,,United States of America,48.5026887,-122.6124231,,+1 360-899-4128,Bubble tea store,Bubble tea store,"Bubble tea store, Cafe, Coffee shop, Ice cream shop, Tea store",4.9,80.0,OPERATIONAL,"{""Friday"": [""10AM-8PM""], ""Monday"": [""10AM-8PM""], ""Saturday"": [""10AM-8PM""], ""Sunday"": [""10AM-8PM""], ""Thursday"": [""10AM-8PM""], ""Tuesday"": [""10AM-8PM""], ""Wednesday"": [""10AM-8PM""]}",0x54857952927381af:0xe85b260fb3bc65fc,ChIJr4FzklJ5hVQR_GW8sw8mW-g,https://search.google.com/local/reviews?placeid=ChIJr4FzklJ5hVQR_GW8sw8mW-g&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkES3jXkDXI5uKWoIL8f9NuQ5vlaCqS2J_X10Wy9KiARgwx-AtF3E_FBEWbUFy-4_DSZerWjypb-5gWZ65BADae3aWzLKrfV9P2u3ZuM6ia_TkkphklCWK1uzYdSfRLIBabrCQJE_nxYU=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Swin Pizzeria,,12885 Casino Dr,Anacortes,98221,,United States of America,48.4580851,-122.5196672,,+1 888-288-8883,Pizza restaurant,restaurants,Pizza restaurant,3.5,10.0,OPERATIONAL,"{""Friday"": [""11AM-12AM""], ""Monday"": [""4-10PM""], ""Saturday"": [""11AM-12AM""], ""Sunday"": [""11AM-10PM""], ""Thursday"": [""11AM-10PM""], ""Tuesday"": [""11AM-10PM""], ""Wednesday"": [""11AM-10PM""]}",0x54857141f53dd2c3:0x3aded08e299e6818,ChIJw9I99UFxhVQRGGieKY7Q3jo,https://search.google.com/local/reviews?placeid=ChIJw9I99UFxhVQRGGieKY7Q3jo&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUX0BAu0wue4QJP8HiEg0A2JxJOJZqx4vmphLHI19mDyLOoreLQwvRBm2xl1vRozs3F0dP5IO4NwQXfpba3MA45lJFu2MqG6DgxCqZrixq1WEKifeD_jOOjCPwUpe1yIdWMyPIGhKfTeq-=w800-h500-k-no,"pizza restaurant, 98221, WA, US",98221,outscraper_google_maps
Swinomish Sports Bar & Grill,,12885 Casino Dr,Anacortes,98221,,United States of America,48.4581002,-122.5199778,,+1 360-588-3600,Sports bar,bars,Sports bar,3.9,37.0,OPERATIONAL,"{""Friday"": [""4PM-12AM""], ""Monday"": [""4-10PM""], ""Saturday"": [""11AM-1AM""], ""Sunday"": [""11AM-10PM""], ""Thursday"": [""4-10PM""], ""Tuesday"": [""4-10PM""], ""Wednesday"": [""4-10PM""]}",0x5485700ba5973a23:0x763baa68681981de,ChIJIzqXpQtwhVQR3oEZaGiqO3Y,,,"bar, 98221, WA, US",98221,outscraper_google_maps
Taco Truck,,8608 S March Point Rd,Anacortes,98221,,United States of America,48.4602803,-122.5595432,,,Food and beverage consultant,Food and beverage consultant,Food and beverage consultant,4.0,4.0,OPERATIONAL,,0x54857b0006f98f39:0x751bc7fefa174212,ChIJOY_5BgB7hVQREkIX-v7HG3U,https://search.google.com/local/reviews?placeid=ChIJOY_5BgB7hVQREkIX-v7HG3U&q=*&authuser=0&hl=en&gl=US,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mi2gqAwF8FU24vMxw1CrRg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=5.6100335&pitch=0&thumbfov=100,"food truck, 98221, WA, US",98221,outscraper_google_maps
Taqueria MIS 5 ESTRELLAS,,1010 14th St,Anacortes,98221,,United States of America,48.5111918,-122.6134159,,+1 360-299-3894,Mexican restaurant,restaurants,Mexican restaurant,4.6,281.0,OPERATIONAL,"{""Friday"": [""10AM-8PM""], ""Monday"": [""10AM-8PM""], ""Saturday"": [""10AM-8PM""], ""Sunday"": [""10AM-8PM""], ""Thursday"": [""10AM-8PM""], ""Tuesday"": [""10AM-8PM""], ""Wednesday"": [""10AM-8PM""]}",0x548579d5cdceee17:0x88eb988ae8deb433,ChIJF-7OzdV5hVQRM7Te6IqY64g,https://search.google.com/local/reviews?placeid=ChIJF-7OzdV5hVQRM7Te6IqY64g&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-luvlPPjXfUib6jw4OiDcvHx7Nm-RzpNPAv9vubcK4fn0oAnmrDm4QU3hrB7e-XXPawP36w6zjoMLRH6wbxITlSVpwqNwh7RRYCstp48r3OELtv26oelXE4xyyG2KJla7VhwK8Q=w800-h500-k-no,"mexican restaurant, 98221, WA, US",98221,outscraper_google_maps
Tasha Lee's Table,,818 Commercial Ave,Anacortes,98221,,United States of America,48.5152483,-122.6128992,,+1 360-298-8203,Restaurant,restaurants,Restaurant,4.8,310.0,OPERATIONAL,"{""Friday"": [""8AM-9PM""], ""Monday"": [""8AM-8PM""], ""Saturday"": [""8AM-9PM""], ""Sunday"": [""8AM-8PM""], ""Thursday"": [""8AM-8PM""], ""Tuesday"": [""8AM-8PM""], ""Wednesday"": [""Closed""]}",0x548579b3aa82e4e5:0x14ef7b63cc02cd7f,ChIJ5eSCqrN5hVQRf80CzGN77xQ,https://search.google.com/local/reviews?placeid=ChIJ5eSCqrN5hVQRf80CzGN77xQ&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFImDhA4uqkks8veYvu1VNGMIB4yX70AwKYaMMFQZ5pnBEqoXbzxgXnPx630bwYnL02W5zgvUuWEHYhRnXjKdXhHmgEWHYrm4hQXhxzgCCbq6PgkX6H45XsEfbey6KFcGhQsbgwM1v7fb_V=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Teriyaki Time,,910 11th St,Anacortes,98221,,United States of America,48.5136509,-122.611369,,+1 360-588-8025,Japanese restaurant,restaurants,Japanese restaurant,4.3,484.0,OPERATIONAL,"{""Friday"": [""11AM-9PM""], ""Monday"": [""11AM-9PM""], ""Saturday"": [""11AM-9PM""], ""Sunday"": [""Closed""], ""Thursday"": [""11AM-9PM""], ""Tuesday"": [""11AM-9PM""], ""Wednesday"": [""11AM-9PM""]}",0x548579e4572d1cd1:0xe18df8eb198d71ab,ChIJ0RwtV-R5hVQRq3GNGev4jeE,https://search.google.com/local/reviews?placeid=ChIJ0RwtV-R5hVQRq3GNGev4jeE&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF781MQUwLLMQNRLEmm_MpNOFfdFUUhSjEXonlh9boxqM70Wf2TaanSWzMWLyDjaDZmVIAMzyIZteURPYyVTCd5KnEeYDlQIBKAqNgMnZE_nXtmWGUMdSmwWtsFdT_1BU2GoKzeiw=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
The Belle,,1816 Commercial Ave,Anacortes,98221,,United States of America,48.5071762,-122.6129633,,,Restaurant,restaurants,"Restaurant, Bar",4.4,34.0,OPERATIONAL,"{""Friday"": [""4-8PM""], ""Monday"": [""Closed""], ""Saturday"": [""12-8PM""], ""Sunday"": [""12-8PM""], ""Thursday"": [""Closed""], ""Tuesday"": [""4-8PM""], ""Wednesday"": [""4-8PM""]}",0x5485792cec241da3:0x60ab97a1e9c444da,ChIJox0k7Cx5hVQR2kTE6aGXq2A,https://search.google.com/local/reviews?placeid=ChIJox0k7Cx5hVQR2kTE6aGXq2A&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTSOkYqYkQgobAln-9tvXtZvR_lxTTJEkZF2ZziDXRtGMC_Whz5xiI7yv-H_S2lFgGltb-Gqneo34qwSaqNpHjBjbbBYN4P4Hwy2vm43dVlCyxBUdpnPGW8pLhfEuxjK_v3e8nd74GkgJG=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
The Coffee Point,,12940 Casino Dr,Anacortes,98221,,United States of America,48.4560064,-122.5181593,,+1 360-466-7358,Coffee shop,coffee shops,Coffee shop,4.2,88.0,OPERATIONAL,"{""Friday"": [""6AM-9PM""], ""Monday"": [""6AM-9PM""], ""Saturday"": [""6AM-9PM""], ""Sunday"": [""6AM-9PM""], ""Thursday"": [""6AM-9PM""], ""Tuesday"": [""6AM-9PM""], ""Wednesday"": [""6AM-9PM""]}",0x54857117b726ddcf:0x847abd319a6435d6,ChIJz90mtxdxhVQR1jVkmjG9eoQ,https://search.google.com/local/reviews?placeid=ChIJz90mtxdxhVQR1jVkmjG9eoQ&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUVmA9UvPwI0jMuzcuRsFgSiEQvP25yQx22KhwqeY2a6FYocNVpvp2ifigSywPSz7R6R901nU8LNp5Yy3Ouy2RjicC9ftUGIHv6d0Mfikvd8X1Y0F9FgR0y4xt0MskUdLqgdRa=w800-h500-k-no,"cafe, 98221, WA, US",98221,outscraper_google_maps
The Corner Bar & Grill,,7601 State Rte 20,Anacortes,98221,,United States of America,48.4617967,-122.5826237,,+1 360-293-8411,Restaurant,restaurants,"Restaurant, Bar",4.2,500.0,OPERATIONAL,"{""Friday"": [""10:30AM-10PM""], ""Monday"": [""10:30AM-9PM""], ""Saturday"": [""10:30AM-10PM""], ""Sunday"": [""10:30AM-9PM""], ""Thursday"": [""10:30AM-10PM""], ""Tuesday"": [""Closed""], ""Wednesday"": [""10:30AM-9PM""]}",0x54857af643736351:0xad86c60b6f6807b6,ChIJUWNzQ_Z6hVQRtgdobwvGhq0,https://search.google.com/local/reviews?placeid=ChIJUWNzQ_Z6hVQRtgdobwvGhq0&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5ndJVzivteM4BTQV99JtBzuiNDfyxw9RNgVcYI0ccxA50IthR8UVEyKm5kY1EDemgNaI7jCn2v7FT9PGbI769ufJbQef3FFjBxkO4aEBVkIKPosmaRLy8g-r7tEZ_d9VP2Cl3=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
The Market at Anacortes,,1519 Commercial Ave #2234,Anacortes,98221,,United States of America,48.5091896,-122.6120376,,+1 360-588-8181,Bakery,Grocery store,"Bakery, Grocery store, Beer store, Deli, Donut shop, Liquor store, Market, Produce market, Supermarket, Wine store",4.3,915.0,OPERATIONAL,"{""Friday"": [""7AM-10PM""], ""Monday"": [""7AM-10PM""], ""Saturday"": [""7AM-10PM""], ""Sunday"": [""7AM-10PM""], ""Thursday"": [""7AM-10PM""], ""Tuesday"": [""7AM-10PM""], ""Wednesday"": [""7AM-10PM""]}",0x548579f00c64f917:0x2955d5e78ebc7d44,ChIJF_lkDPB5hVQRRH28jufVVSk,https://search.google.com/local/reviews?placeid=ChIJF_lkDPB5hVQRRH28jufVVSk&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEbVEShAN8QStfu5IcaQEYQ7JDVmFm5KmLQVvUrehZAkVhuIAEb3MrprlPulQxb43IRXA17vb83BuxdhK2264pKWo4M1lUESg0Hk6Bbfj6_yrWnO1QshQF_cW3CzGLTRk2pKg3F=w800-h500-k-no,"bakery, 98221, WA, US",98221,outscraper_google_maps
The Shrimp Shack,,6168 State Rte 20,Anacortes,98221,,United States of America,48.4289662,-122.6076989,,+1 360-293-2531,Seafood restaurant,restaurants,"Seafood restaurant, Restaurant",4.2,3016.0,OPERATIONAL,"{""Friday"": [""11AM-6PM""], ""Monday"": [""11AM-6PM""], ""Saturday"": [""11AM-6PM""], ""Sunday"": [""11AM-6PM""], ""Thursday"": [""11AM-6PM""], ""Tuesday"": [""11AM-6PM""], ""Wednesday"": [""11AM-6PM""]}",0x5485633447fe462f:0xfd01033de4e978b5,ChIJL0b-RzRjhVQRtXjp5D0DAf0,https://search.google.com/local/reviews?placeid=ChIJL0b-RzRjhVQRtXjp5D0DAf0&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgAG0jBrjRrknxxllNUVVBaoTurRFrpIGF8kjyZSHS-4H0kOorFLLJOIdM3RYGvLnl35_XCb5uul83riIetyj_Xnp_QEY4tv8-sDYHwz-xI0cYMi1WIJ7rGHs8YKg7oLO6b6s=w800-h500-k-no,"cafe, 98221, WA, US",98221,outscraper_google_maps
The Store,,919 37th St,Anacortes,98221,,United States of America,48.492272,-122.6126516,,+1 360-293-2851,Restaurant,Grocery store,"Restaurant, Bakery, Coffee shop, Convenience store, Deli, Grocery store",4.8,236.0,OPERATIONAL,"{""Friday"": [""7AM-8PM""], ""Monday"": [""7AM-8PM""], ""Saturday"": [""7AM-8PM""], ""Sunday"": [""7AM-8PM""], ""Thursday"": [""7AM-8PM""], ""Tuesday"": [""7AM-8PM""], ""Wednesday"": [""7AM-8PM""]}",0x54857a2239c7532f:0xbb0cae299fd106bb,ChIJL1PHOSJ6hVQRuwbRnymuDLs,https://search.google.com/local/reviews?placeid=ChIJL1PHOSJ6hVQRuwbRnymuDLs&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxR_-nbKpAPq3lDBbPl4gFVyuUs-eCyRHwzQ10JFPMEC6qKOUtg0InjJBX1JxhA2VjZ7zR-FMBV_D69P2NPeer-IQHjAt9xwuSqlFGwDsszrkThgRmN8mDlZEmkOIas0gHRwdHGQ=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
"Tin House ""Thai Street Food""",,3015 Commercial Ave Suite C,Anacortes,98221,,United States of America,48.4973824,-122.6124602,,+1 360-755-3338,Thai restaurant,restaurants,"Thai restaurant, Asian restaurant, Lunch restaurant, Takeout Restaurant",4.5,238.0,OPERATIONAL,"{""Friday"": [""11AM-9PM""], ""Monday"": [""11AM-9PM""], ""Saturday"": [""11AM-9PM""], ""Sunday"": [""11AM-9PM""], ""Thursday"": [""11AM-9PM""], ""Tuesday"": [""11AM-9PM""], ""Wednesday"": [""11AM-9PM""]}",0x54857bf9e584605f:0xf97ebe8908c23c13,ChIJX2CE5fl7hVQREzzCCIm-fvk,https://search.google.com/local/reviews?placeid=ChIJX2CE5fl7hVQREzzCCIm-fvk&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmdxCI53osBH_FVVB9PBUAv8ScvKLhggDfY-z0OUcMauKhPUv_CHfMrZsT2HTKb1zrJ9avrZKexpMz9Nxz4wE9jo2iJR-3dhC0VKFWsYCgtL8A601bcc07bwQuPJiXqzMF2pZbyw=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
True North Bakery,,2119 Commercial Ave,Anacortes,98221,,United States of America,48.5046549,-122.6124196,,+1 425-501-8882,,,,,,OPERATIONAL,,0x548579f134b7c915:0x93d95d37215e3e66,ChIJFcm3NPF5hVQRZj5eITdd2ZM,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3CdQRHJHR_qTQjvREjbVnw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=103.738495&pitch=0&thumbfov=100,"bakery, 98221, WA, US",98221,outscraper_google_maps
UNNI's,,1019 Q Ave #1,Anacortes,98221,,United States of America,48.5134503,-122.6106742,,+1 360-682-7986,Indian restaurant,restaurants,"Indian restaurant, Caterer, Cooking class, Kerala restaurant, Personal chef service",4.8,108.0,OPERATIONAL,"{""Friday"": [""Closed""], ""Monday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""Closed""], ""Tuesday"": [""Closed""], ""Wednesday"": [""Closed""]}",0x548f8b9691edc00d:0x47a333af5e774f71,ChIJDcDtkZaLj1QRcU93Xq8zo0c,https://search.google.com/local/reviews?placeid=ChIJDcDtkZaLj1QRcU93Xq8zo0c&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYjGDv2Aw-16fV-dYWktnUAqIWrgVj9N2ov1tvVDr6EIByYKdhMn0OhWP2bbUGmrkJE6S3slBjMWKa89-B_pW3F7aG1vJp9y4OosX-1AxJ86qgqQzgEzA-mMoGrb4GeD-lH6r6Gu8pZhdG=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Union Tavern - Local 902,,902 Commercial Ave,Anacortes,98221,,United States of America,48.5149098,-122.612751,,+1 360-873-8245,Bar,bars,"Bar, American restaurant",4.5,616.0,OPERATIONAL,"{""Friday"": [""11AM-12AM""], ""Monday"": [""11AM-10PM""], ""Saturday"": [""11AM-12AM""], ""Sunday"": [""11AM-10PM""], ""Thursday"": [""11AM-10PM""], ""Tuesday"": [""11AM-10PM""], ""Wednesday"": [""11AM-10PM""]}",0x548579e431cbd40d:0x25631dcbb1217227,ChIJDdTLMeR5hVQRJ3IhscsdYyU,https://search.google.com/local/reviews?placeid=ChIJDdTLMeR5hVQRJ3IhscsdYyU&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVdh0J2NfTZu6y3tfEzRBqiUH4AGgMyazHjjDCkXcwWCWuhp5m5vTrwjdSqjW-jQVp2XJs_XjKpVkz0Lfire498EuYPu_986MEFG_LCQ2sjMb9AOWNKPGavnw4w8rklM9TGE-k=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Union Wine Co,,913 6th St,Anacortes,98221,,United States of America,48.517327,-122.6118036,,+1 360-588-9842,Wine bar,bars,Wine bar,5.0,9.0,OPERATIONAL,"{""Friday"": [""2-9PM""], ""Monday"": [""2-9PM""], ""Saturday"": [""2-9PM""], ""Sunday"": [""12-7PM""], ""Thursday"": [""2-9PM""], ""Tuesday"": [""2-9PM""], ""Wednesday"": [""Closed""]}",0x548579f23802a935:0x5d04bbb433d40854,ChIJNakCOPJ5hVQRVAjUM7S7BF0,https://search.google.com/local/reviews?placeid=ChIJNakCOPJ5hVQRVAjUM7S7BF0&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHeCy4eSvHEnbJSwlg8-V5DMyObsnV5za6mIAFrqnL1VSC-R86d_TggaamTDf2ep659FbHLvks3AdEq6b4wieApcnso4CxHClqqs0-R09t9GfjrUo6nZVObdcTDivIS-lhG0cdvnrXq7JGJ=w800-h500-k-no,"bar, 98221, WA, US",98221,outscraper_google_maps
Village Pizza,,807 Commercial Ave,Anacortes,98221,,United States of America,48.5156058,-122.6123343,,+1 360-293-7847,Pizza restaurant,restaurants,"Pizza restaurant, Italian restaurant",4.5,993.0,OPERATIONAL,"{""Friday"": [""11AM-9PM""], ""Monday"": [""Closed""], ""Saturday"": [""11AM-9PM""], ""Sunday"": [""11AM-8PM""], ""Thursday"": [""11AM-9PM""], ""Tuesday"": [""Closed""], ""Wednesday"": [""11AM-9PM""]}",0x548579e421a2a353:0x90b3032d9f2a3aa7,ChIJU6OiIeR5hVQRpzoqny0Ds5A,https://search.google.com/local/reviews?placeid=ChIJU6OiIeR5hVQRpzoqny0Ds5A&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGY-jSimtCzLqJGf-QlhknssR3mHRiXPAeEoTdhd1BtZXjCUaN7aIiEqmhINYLWYhFg35lRJ9rQS2dhKSCgdu7fyAwmcejNANjqOuPb5p2_sg9kkdUPlQpva3CxzuIGt1818mV1=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Whidbey Coffee,,1120 Commercial Ave,Anacortes,98221,,United States of America,48.5128715,-122.6128351,,+1 360-230-1339,Cafe,cafes,Cafe,4.5,171.0,OPERATIONAL,"{""Friday"": [""5:30AM-5PM""], ""Monday"": [""5:30AM-5PM""], ""Saturday"": [""6AM-5PM""], ""Sunday"": [""7AM-5PM""], ""Thursday"": [""5:30AM-5PM""], ""Tuesday"": [""5:30AM-5PM""], ""Wednesday"": [""5:30AM-5PM""]}",0x548579e5a0ac26bd:0x6b6ddaa24f3d9a55,ChIJvSasoOV5hVQRVZo9T6LabWs,https://search.google.com/local/reviews?placeid=ChIJvSasoOV5hVQRVZo9T6LabWs&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG1Yq7KVPK_eaT-u45bvyGi-09N_oAf84zciBfX8qa6hjLF9Ev9wS_3gDOHN4tTGfDLjP21G2vLm46Zlp_YjLUPkywx0JnPoNDTOjmeJVBt11AnY0NJ4mvpcOeBtn1MdZERZFHR=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
ZENSHI Handcrafted Sushi,,911 11th St,Anacortes,98221,,United States of America,48.5122831,-122.6117014,,+1 360-293-5393,Restaurant,restaurants,"Restaurant, Sushi takeaway",,,OPERATIONAL,"{""Friday"": [""9AM-7PM""], ""Monday"": [""9AM-7PM""], ""Saturday"": [""9AM-7PM""], ""Sunday"": [""9AM-7PM""], ""Thursday"": [""9AM-7PM""], ""Tuesday"": [""9AM-7PM""], ""Wednesday"": [""9AM-7PM""]}",0x5485793d99402775:0xa11478f9f57fa3a,ChIJdSdAmT15hVQROvpXn49HEQo,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEcsfz9Lrdv_CwRuw8ZSpU9ipjiwRg0RXYCdrRXJRZSoNE9jGeAjYW6G-AyCQj0118yoBxISHd-C1ntaMpdc1BGRxyR4JN4_9pXkG-E6Axt09NvQy9dfSezHaYg3gKgTcRQ63X-cg=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Blue Heron Coffee Company,,4923 Seacliff Ln,Bow,98232,,United States of America,48.5746943,-122.5164821,,+1 360-766-6543,Coffee roastery,Coffee roastery,Coffee roastery,4.5,2.0,OPERATIONAL,,0x548575d53178ec69:0xdf3f7b6fa3f64367,ChIJaex4MdV1hVQRZ0P2o297P98,,,"cafe, 98232, WA, US",98232,outscraper_google_maps
Bow Kitchen Hub,,14969 W Bow Hill Rd,Bow,98232,,United States of America,48.5657637,-122.4229857,,+1 425-508-1153,Mexican restaurant,restaurants,Mexican restaurant,5.0,17.0,OPERATIONAL,"{""Friday"": [""Closed""], ""Monday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""10AM-8PM""], ""Tuesday"": [""10AM-7PM""], ""Wednesday"": [""Closed""]}",0x54857509453ce94f:0x62112b75df600b11,ChIJT-k8RQl1hVQREQtg33UrEWI,https://search.google.com/local/reviews?placeid=ChIJT-k8RQl1hVQREQtg33UrEWI&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF7DPJF1dwZ1l8x3-tDFxjTZTAWwfKAq44SyQiIIYRbzrrsNvF_Cz9Z1wDGg7d-sWowhGCDTqvnqxTVvzufH18ybJxyf4cu4i2akdtyzuP9RFuEbuB3DzttudNgUHrhm_kQ6oiLAxhLg8RC=w800-h500-k-no,"restaurant, 98232, WA, US",98232,outscraper_google_maps
Breadfarm,,5766 Cains Ct,Bow,98232,,United States of America,48.5622514,-122.4438776,,+1 360-766-4065,Bakery,Bakery,"Bakery, Pastry shop",4.8,461.0,OPERATIONAL,"{""Friday"": [""8AM-4PM""], ""Monday"": [""8AM-4PM""], ""Saturday"": [""8AM-4PM""], ""Sunday"": [""8AM-4PM""], ""Thursday"": [""8AM-4PM""], ""Tuesday"": [""8AM-4PM""], ""Wednesday"": [""8AM-4PM""]}",0x5485747abdc38239:0x805c2f3efc38c1b5,ChIJOYLDvXp0hVQRtcE4_D4vXIA,https://search.google.com/local/reviews?placeid=ChIJOYLDvXp0hVQRtcE4_D4vXIA&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG31wMsFq36PXcnNb_6w9dtDoN-5gDUoeJDQwelrQ-l1chkM50h4Krsmv207AX766hfWSbm6BEdEnHcPBt9KZrFGZXaix168-zxx0fhu5Q1OQgVtQQIaR9v4CnuRxF1uI3aNv8=w800-h500-k-no,"cafe, 98232, WA, US",98232,outscraper_google_maps
